index,Date,Region,Thermal Generation Actual (in MW),Thermal Generation Estimated (in MW),Thermal Generation Estimation Error,Nuclear Generation Actual (in MW),Nuclear Generation Estimated (in MW),Nuclear Generation Estimation Error,Hydro Generation Actual (in MW),Hydro Generation Estimated (in MW),Hydro Generation Estimation Error
850,18/2/2018,NorthEastern,31.93,32.43,0.5,,,0,10.24,7.16,-3.08
851,19/2/2018,Northern,626.01,582.78,-43.23,30.36,31.71,1.35,109.45,97.65,-11.8
852,19/2/2018,Western,1166.32,1194.11,27.79,25.14,13.09,-12.05,40.94,36.51,-4.43
853,19/2/2018,Southern,650.74,618.36,-32.38,67,57.37,-9.63,82.8,50.19,-32.61
854,19/2/2018,Eastern,490.85,504.64,13.79,,,0,25.1,30.21,5.11
855,19/2/2018,NorthEastern,31.93,33.01,1.08,,,0,10.24,6.71,-3.53
856,20/2/2018,Northern,620.85,607.92,-12.93,30.36,31.5,1.14,109.45,97.73,-11.72
857,20/2/2018,Western,1166.32,1205.79,39.47,25.14,13.09,-12.05,40.94,35.98,-4.96
858,20/2/2018,Southern,650.74,644.61,-6.13,67,47.57,-19.43,82.8,58.9,-23.9
859,20/2/2018,Eastern,490.85,523.94,33.09,,,0,25.1,24.11,-0.99
860,20/2/2018,NorthEastern,31.93,33.58,1.65,,,0,10.24,6.74,-3.5
861,21/2/2018,Northern,630.85,608.66,-22.19,30.36,31.55,1.19,109.45,99.28,-10.17
862,21/2/2018,Western,1166.32,1200.22,33.9,25.14,13.09,-12.05,40.94,35.39,-5.55
863,21/2/2018,Southern,650.74,650.81,0.07,67,48.46,-18.54,82.8,55.93,-26.87
864,21/2/2018,Eastern,490.85,537.61,46.76,,,0,25.1,23.23,-1.87
865,21/2/2018,NorthEastern,31.93,33.8,1.87,,,0,10.24,5.75,-4.49
866,22/2/2018,Northern,633.56,616.84,-16.72,30.36,31.47,1.11,109.45,97.77,-11.68
867,22/2/2018,Western,1168.03,1213.6,45.57,25.14,12.55,-12.59,40.94,36.89,-4.05
868,22/2/2018,Southern,650.74,647.79,-2.95,67,48.54,-18.46,82.8,61.67,-21.13
869,22/2/2018,Eastern,490.85,545.31,54.46,,,0,25.1,25.22,0.12
870,22/2/2018,NorthEastern,31.93,33.77,1.84,,,0,10.24,5.26,-4.98
871,23/2/2018,Northern,633.56,622.09,-11.47,30.36,31.44,1.08,109.45,98.91,-10.54
872,23/2/2018,Western,1169.43,1211.49,42.06,25.14,12.55,-12.59,40.94,26.39,-14.55
873,23/2/2018,Southern,650.74,657.13,6.39,67,47.59,-19.41,82.8,58.66,-24.14
874,23/2/2018,Eastern,490.85,523.9,33.05,,,0,25.1,27,1.9
875,23/2/2018,NorthEastern,31.93,33.92,1.99,,,0,10.24,5.34,-4.9
876,24/2/2018,Northern,633.56,592.86,-40.7,30.36,31.4,1.04,109.45,94.15,-15.3
